instance size;bitonic sort (CPU);bitonic sort (GPU);odd-even sort (CPU);odd-event sort (GPU)
1024;0.001166;;0.012147;
1024;0.001200;;0.006502;
1024;0.001531;;0.007435;
1024;0.001044;;0.008236;
1024;0.001502;;0.010861;
1024;0.001596;;0.005425;
1024;0.001323;;0.005778;
1024;0.002558;;0.006663;
1024;0.001169;;0.007288;
1024;0.002651;;0.009297;
1024;0.000946;;0.004677;
1024;0.001479;;0.002793;
1024;0.001415;;0.002815;
1024;0.001185;;0.009286;
1024;0.001388;;0.006960;
1024;0.001086;;0.013868;
1024;0.001074;;0.011648;
1024;0.001191;;0.008549;
1024;0.001727;;0.006803;
1024;0.001012;;0.012190;
1024;0.001326;;0.008298;
1024;0.001045;;0.007930;
1024;0.001524;;0.004156;
1024;0.000903;;0.007557;
1024;0.001214;;0.013123;
1024;0.001260;;0.011822;
1024;0.002337;;0.007838;
1024;0.001303;;0.005430;
1024;0.001353;;0.010608;
1024;0.003569;;0.011144;
1024;0.004028;;0.028229;
1024;0.001875;;0.034070;
1024;0.001395;;0.006686;
1024;0.001201;;0.018627;
1024;0.001190;;0.011388;
1024;0.001398;;0.002248;
2048;0.001479;;0.046258;
2048;0.001180;;0.026024;
2048;0.001867;;0.044608;
2048;0.001577;;0.025096;
2048;0.001326;;0.051939;
2048;0.001554;;0.041232;
2048;0.001426;;0.048296;
2048;0.001175;;0.035049;
2048;0.001150;;0.033401;
2048;0.001395;;0.039191;
2048;0.001406;;0.030416;
2048;0.001250;;0.028124;
2048;0.000973;;0.028957;
2048;0.001352;;0.039691;
2048;0.002782;;0.056315;
2048;0.001606;;0.034719;
2048;0.001399;;0.030066;
2048;0.001190;;0.032804;
2048;0.001434;;0.017592;
2048;0.001140;;0.039361;
2048;0.001422;;0.030349;
2048;0.001631;;0.044640;
2048;0.002416;;0.027022;
2048;0.001152;;0.040591;
2048;0.001822;;0.047235;
2048;0.001610;;0.031294;
2048;0.001458;;0.039051;
2048;0.001244;;0.041573;
2048;0.001089;;0.037125;
2048;0.001503;;0.047920;
2048;0.001376;;0.053363;
2048;0.001285;;0.041381;
2048;0.001316;;0.039884;
2048;0.002650;;0.046334;
2048;0.001902;;0.034765;
2048;0.001708;;0.043130;
2048;0.001208;;0.051216;
2048;0.001274;;0.034471;
2048;0.001288;;0.042672;
2048;0.001171;;0.035812;
2048;0.001362;;0.026085;
2048;0.002018;;0.044739;
2048;0.001526;;0.031801;
2048;0.001058;;0.038529;
2048;0.001449;;0.045053;
2048;0.001175;;0.038533;
2048;0.001285;;0.046225;
2048;0.001446;;0.044492;
2048;0.001271;;0.046604;
2048;0.001103;;0.027447;
2048;0.001707;;0.062591;
2048;0.001511;;0.046613;
2048;0.001408;;0.029641;
2048;0.001032;;0.038783;
2048;0.001115;;0.046839;
2048;0.001655;;0.049614;
2048;0.001857;;0.035223;
2048;0.001248;;0.044359;
2048;0.002042;;0.067052;
2048;0.002057;;0.049734;
2048;0.001463;;0.027217;
2048;0.002107;;0.040702;
2048;0.001340;;0.043550;
2048;0.002235;;0.062106;
2048;0.001951;;0.051300;
2048;0.001388;;0.042426;
2048;0.001442;;0.034217;
2048;0.001411;;0.031973;
2048;0.001971;;0.045214;
2048;0.001258;;0.032759;
2048;0.001756;;0.042329;
2048;0.001417;;0.032436;
2048;0.001625;;0.032605;
2048;0.001523;;0.044192;
2048;0.001350;;0.043582;
2048;0.001796;;0.034152;
2048;0.001607;;0.034332;
2048;0.001736;;0.035091;
2048;0.001104;;0.039021;
2048;0.001376;;0.032826;
2048;0.001392;;0.055066;
2048;0.001624;;0.035227;
2048;0.001605;;0.050632;
2048;0.001727;;0.050528;
2048;0.001408;;0.046819;
2048;0.001721;;0.034309;
2048;0.001220;;0.059235;
2048;0.001388;;0.045313;
2048;0.001147;;0.051325;
2048;0.001335;;0.041166;
2048;0.001388;;0.031157;
2048;0.001282;;0.035256;
2048;0.001502;;0.041922;
2048;0.001937;;0.045719;
2048;0.001548;;0.042003;
2048;0.001130;;0.042486;
2048;0.001399;;0.037175;
2048;0.001757;;0.045398;
2048;0.001786;;0.053679;
2048;0.002225;;0.065296;
4096;0.002901;;0.092770;
4096;0.002852;;0.098986;
4096;0.001984;;0.046687;
4096;0.003160;;0.061832;
4096;0.001552;;0.046325;
4096;0.002056;;0.029380;
4096;0.001618;;0.070176;
4096;0.001434;;0.076524;
4096;0.010515;;0.073780;
4096;0.002266;;0.062226;
4096;0.002295;;0.046380;
4096;0.001675;;0.028215;
4096;0.001547;;0.031465;
4096;0.001737;;0.042538;
4096;0.001589;;0.058209;
4096;0.002036;;0.032770;
4096;0.001840;;0.027912;
4096;0.002095;;0.032008;
4096;0.002193;;0.064334;
4096;0.002561;;0.061799;
4096;0.003343;;0.073554;
4096;0.002121;;0.040580;
4096;0.001713;;0.035623;
4096;0.001381;;0.054626;
4096;0.001493;;0.068312;
4096;0.001996;;0.056581;
4096;0.001662;;0.040584;
