instance size;bitonic sort (CPU);bitonic sort (GPU);odd-even sort (CPU);odd-event sort (GPU)
4096;0.002027;;0.242789;
4096;0.001978;;0.231002;
4096;0.001776;;0.224200;
4096;0.001582;;0.237291;
4096;0.001495;;0.225715;
4096;0.001616;;0.222441;
4096;0.002018;;0.223405;
4096;0.001622;;0.222745;
4096;0.002072;;0.289679;
4096;0.002048;;0.221911;
4096;0.001441;;0.214808;
4096;0.001533;;0.214860;
4096;0.001546;;0.233837;
4096;0.001803;;0.227373;
4096;0.001475;;0.220969;
4096;0.001333;;0.211342;
4096;0.001679;;0.214379;
4096;0.001844;;0.224346;
4096;0.001848;;0.229262;
4096;0.001395;;0.283828;
4096;0.002050;;0.233031;
4096;0.001689;;0.227300;
4096;0.001892;;0.237513;
4096;0.001812;;0.227394;
4096;0.001786;;0.234285;
4096;0.002277;;0.223915;
4096;0.001941;;0.220053;
4096;0.001595;;0.210242;
4096;0.001559;;0.222671;
4096;0.001726;;0.232184;
4096;0.001497;;0.271232;
4096;0.001717;;0.227599;
4096;0.002100;;0.216106;
4096;0.001519;;0.216025;
4096;0.002074;;0.219159;
4096;0.001848;;0.225947;
4096;0.002009;;0.217858;
4096;0.002013;;0.232864;
4096;0.001471;;0.224864;
4096;0.001424;;0.224546;
4096;0.001491;;0.212067;
4096;0.001546;;0.216695;
4096;0.001582;;0.225868;
8192;0.003091;;0.690932;
8192;0.002449;;0.488401;
8192;0.002680;;0.505339;
8192;0.002409;;0.508705;
8192;0.002064;;0.518767;
8192;0.002683;;0.606931;
8192;0.002723;;0.675743;
8192;0.002540;;0.767389;
8192;0.005652;;0.912115;
8192;0.003403;;0.794097;
8192;0.003014;;0.723034;
8192;0.002972;;0.551157;
8192;0.002482;;0.543527;
8192;0.002760;;0.746568;
8192;0.004246;;0.630685;
8192;0.003755;;0.528665;
8192;0.002711;;0.563366;
8192;0.002826;;0.498342;
8192;0.002253;;0.489069;
8192;0.002656;;0.488016;
8192;0.002481;;0.484492;
8192;0.002164;;0.503250;
8192;0.002407;;0.564395;
8192;0.002265;;0.571643;
8192;0.005449;;0.520072;
8192;0.002441;;0.492402;
8192;0.002782;;0.499983;
8192;0.002795;;0.484315;
8192;0.002651;;0.522983;
8192;0.005327;;0.526027;
8192;0.002113;;0.499267;
8192;0.002901;;0.477174;
8192;0.002398;;0.495837;
8192;0.002590;;0.484596;
8192;0.002079;;0.552814;
8192;0.002355;;0.552066;
8192;0.002377;;0.630166;
8192;0.002269;;0.559681;
8192;0.002187;;0.490238;
8192;0.002087;;0.552538;
8192;0.002225;;0.509614;
8192;0.002504;;0.532665;
8192;0.002115;;0.482169;
8192;0.002134;;0.497589;
8192;0.002338;;0.502710;
8192;0.002174;;0.473437;
8192;0.002330;;0.495728;
8192;0.002619;;0.491412;
8192;0.002045;;0.479514;
8192;0.002137;;0.489028;
16384;0.004379;;1.217939;
16384;0.003703;;1.133243;
16384;0.003944;;1.171123;
16384;0.003355;;1.118881;
16384;0.003883;;1.204742;
16384;0.003756;;1.149610;
16384;0.003783;;1.154964;
16384;0.003064;;1.429637;
16384;0.009592;;1.138002;
16384;0.002929;;1.139358;
16384;0.003431;;1.104214;
16384;0.003543;;1.130969;
16384;0.003785;;1.098605;
16384;0.003402;;1.082195;
16384;0.003772;;1.269380;
16384;0.003485;;1.090046;
16384;0.003150;;1.114669;
16384;0.003213;;1.129671;
16384;0.003401;;1.100729;
16384;0.003866;;1.164634;
16384;0.004883;;1.259765;
16384;0.003655;;1.116984;
16384;0.008517;;1.159571;
16384;0.003605;;1.120473;
16384;0.003791;;1.181733;
16384;0.003157;;1.127689;
16384;0.004153;;1.152758;
16384;0.003568;;1.084090;
16384;0.003654;;1.113946;
16384;0.003337;;1.167138;
16384;0.003655;;1.096705;
16384;0.003460;;1.173481;
16384;0.003404;;1.094507;
16384;0.004129;;1.296557;
16384;0.004825;;1.570374;
16384;0.004349;;1.806268;
16384;0.003872;;1.364455;
16384;0.003370;;1.379347;
16384;0.004141;;1.187362;
16384;0.004618;;1.218256;
16384;0.003506;;1.160346;
16384;0.003815;;1.138968;
16384;0.003312;;1.078487;
16384;0.003517;;1.111677;
16384;0.003822;;1.173302;
16384;0.003842;;1.342992;
16384;0.003609;;1.163969;
16384;0.003720;;1.114981;
16384;0.003020;;1.168530;
16384;0.007068;;1.104090;
